Timestamp,Status
0,Booting
951,Setup completed
1769,Sensor reading complete
193049,Wifi initialized
193213,Message sent
247837,WiFi turned off
248095,Entering deep sleep
0,Booting
928,Setup completed
1748,Sensor reading complete
208792,Wifi initialized
208948,Message sent
263849,WiFi turned off
264107,Entering deep sleep
0,Booting
939,Setup completed
1776,Sensor reading complete
187945,Wifi initialized
188097,Message sent
242793,WiFi turned off
243051,Entering deep sleep
0,Booting
940,Setup completed
1775,Sensor reading complete
187965,Wifi initialized
188116,Message sent
242796,WiFi turned off
243053,Entering deep sleep
0,Booting
897,Setup completed
1715,Sensor reading complete
187965,Wifi initialized
188116,Message sent
242796,WiFi turned off
243053,Entering deep sleep
0,Booting
957,Setup completed
1829,Sensor reading complete
188472,Wifi initialized
188623,Message sent
243303,WiFi turned off
243561,Entering deep sleep
0,Booting
960,Setup completed
1782,Sensor reading complete
188494,Wifi initialized
188645,Message sent
243214,WiFi turned off
243472,Entering deep sleep
0,Booting
950,Setup completed
1858,Sensor reading complete
188900,Wifi initialized
189051,Message sent
243620,WiFi turned off
243878,Entering deep sleep
0,Booting
902,Setup completed
1720,Sensor reading complete
187963,Wifi initialized
188115,Message sent
242794,WiFi turned off
243052,Entering deep sleep
0,Booting
940,Setup completed
1776,Sensor reading complete
188074,Wifi initialized
188225,Message sent
242794,WiFi turned off
243051,Entering deep sleep
0,Booting
957,Setup completed
1791,Sensor reading complete
188359,Wifi initialized
188510,Message sent
243207,WiFi turned off
243465,Entering deep sleep
0,Booting
970,Setup completed
1846,Sensor reading complete
188900,Wifi initialized
189052,Message sent
243620,WiFi turned off
243878,Entering deep sleep
0,Booting
896,Setup completed
1713,Sensor reading complete
187963,Wifi initialized
188114,Message sent
242793,WiFi turned off
243051,Entering deep sleep
0,Booting
947,Setup completed
1832,Sensor reading complete
188472,Wifi initialized
188624,Message sent
243303,WiFi turned off
243561,Entering deep sleep
0,Booting
947,Setup completed
1831,Sensor reading complete
188583,Wifi initialized
188735,Message sent
243303,WiFi turned off
243561,Entering deep sleep
0,Booting
947,Setup completed
1829,Sensor reading complete
188583,Wifi initialized
188734,Message sent
243303,WiFi turned off
243561,Entering deep sleep
0,Booting
939,Setup completed
1776,Sensor reading complete
187963,Wifi initialized
188114,Message sent
242793,WiFi turned off
243051,Entering deep sleep
0,Booting
948,Setup completed
1830,Sensor reading complete
188473,Wifi initialized
188624,Message sent
243304,WiFi turned off
243561,Entering deep sleep
0,Booting
958,Setup completed
1831,Sensor reading complete
188472,Wifi initialized
188623,Message sent
243303,WiFi turned off
243561,Entering deep sleep
0,Booting
948,Setup completed
1832,Sensor reading complete
188473,Wifi initialized
188624,Message sent
243303,WiFi turned off
243561,Entering deep sleep
0,Booting
941,Setup completed
1790,Sensor reading complete
188370,Wifi initialized
188522,Message sent
243201,WiFi turned off
243459,Entering deep sleep
0,Booting
956,Setup completed
1790,Sensor reading complete
188486,Wifi initialized
188637,Message sent
243206,WiFi turned off
243464,Entering deep sleep
0,Booting
963,Setup completed
1779,Sensor reading complete
188390,Wifi initialized
188541,Message sent
243221,WiFi turned off
243479,Entering deep sleep
0,Booting
948,Setup completed
1830,Sensor reading complete
188584,Wifi initialized
188735,Message sent
243304,WiFi turned off
243561,Entering deep sleep
0,Booting
902,Setup completed
1709,Sensor reading complete
188074,Wifi initialized
188225,Message sent
242794,WiFi turned off
243052,Entering deep sleep
0,Booting
963,Setup completed
1780,Sensor reading complete
188372,Wifi initialized
188524,Message sent
243220,WiFi turned off
243478,Entering deep sleep
0,Booting
957,Setup completed
1830,Sensor reading complete
188583,Wifi initialized
188734,Message sent
243303,WiFi turned off
243561,Entering deep sleep
